Raw Score,Oct 2018,Apr 2019,Jan 2017,May 2016,Apr 2016,Mar 2019,Mar 2018,Oct 2016,Oct 2017,Apr 2018,Apr 2017,May 2018,May 2017
52,40,40,40,40,40,40,40,40,40,40,40,40,40
51,39,39,39,39,40,39,39,39,39,39,39,40,40
50,37,38,38,37,39,39,39,39,38,39,39,39,39
49,36,37,37,37,38,38,38,38,38,38,38,39,39
48,36,36,36,36,37,37,37,37,37,38,37,38,39
47,35,35,35,35,37,36,36,37,36,37,37,37,38
46,34,34,35,35,36,35,36,36,36,36,36,37,38
45,33,34,34,34,35,35,35,35,35,36,36,36,37
44,33,33,33,33,34,34,34,35,35,35,35,35,36
43,32,32,33,33,33,33,34,34,34,34,35,35,35
42,32,32,32,32,33,33,33,33,34,34,34,34,34
41,31,31,31,32,32,32,33,32,33,33,34,34,34
40,31,31,31,31,31,32,32,32,33,33,33,33,33
39,31,30,30,31,31,31,31,31,32,32,33,33,32
38,30,30,30,30,30,31,31,31,32,32,32,32,32
37,30,29,29,30,30,30,30,30,31,32,32,32,31
36,29,29,29,29,29,30,30,30,31,31,31,31,31
35,29,28,29,29,29,29,29,29,30,31,31,31,30
34,28,28,28,29,28,29,29,29,30,30,30,30,30
33,28,27,28,28,28,28,28,28,29,30,30,30,29
32,27,27,27,28,27,28,27,28,29,29,29,29,28
31,26,26,27,27,27,27,27,27,28,29,29,29,28
30,26,26,26,26,26,27,26,27,28,28,28,28,27
29,25,25,26,26,26,26,26,26,27,28,28,28,27
28,25,25,25,25,25,26,25,26,27,27,27,27,26
27,24,24,25,25,25,25,25,25,26,27,27,27,25
26,24,24,24,24,24,25,24,25,26,26,26,26,25
25,23,23,24,24,24,24,24,24,25,26,25,25,24
24,23,23,23,23,23,24,23,24,25,25,25,25,24
23,22,22,23,23,23,23,22,23,24,25,24,24,23
22,22,21,22,22,22,23,22,23,23,24,24,24,23
21,21,21,22,21,22,22,21,22,23,24,23,23,22
20,21,20,21,21,21,21,21,22,22,23,22,23,21
19,20,20,21,20,21,21,20,21,22,23,22,22,21
18,20,19,20,20,20,20,20,21,21,22,21,21,20
17,19,19,20,19,20,20,19,20,20,21,20,21,20
16,19,19,19,18,19,19,19,20,20,21,20,20,19
15,18,18,19,18,19,19,19,19,19,20,19,20,19
14,18,18,18,17,18,18,18,18,19,20,19,19,18
13,17,17,18,17,18,18,18,18,18,19,18,18,18
12,17,17,17,16,17,18,17,17,18,18,17,18,17
11,16,16,17,16,17,17,16,17,17,18,17,17,17
10,16,15,16,15,16,16,16,16,17,17,16,17,16
9,15,15,15,14,15,16,15,15,16,16,15,16,15
8,14,14,15,14,15,15,14,15,15,15,15,15,15
7,13,13,14,13,14,14,14,14,14,15,14,14,14
6,13,13,13,12,13,13,13,13,13,14,13,13,13
5,12,12,12,11,12,13,12,12,13,13,12,13,12
4,11,11,11,11,11,12,11,11,12,12,11,12,11
3,10,10,10,10,10,11,10,10,11,11,10,11,10
2,10,10,10,10,10,10,10,10,10,10,10,10,10
1,10,10,10,10,10,10,10,10,10,10,10,10,10
0,10,10,10,10,10,10,10,10,10,10,10,10,10
